epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,180.22,2.83562,2.52981,1.93339,0.12444,0.27723,0.03445,0.01205,2.09583,2.29724,1.47886,0.0012872,0.0012872,0.0012872
38,183.337,2.20306,2.80379,1.63967,0.12444,0.27723,0.03445,0.01205,2.09583,2.29724,1.47886,0.0012674,0.0012674,0.0012674
39,186.484,2.80446,2.49987,1.64023,0.12444,0.27723,0.03445,0.01205,2.09583,2.29724,1.47886,0.0012476,0.0012476,0.0012476
40,189.458,2.5615,2.64787,1.67719,0.12444,0.27723,0.03445,0.01205,2.09583,2.29724,1.47886,0.0012278,0.0012278,0.0012278
41,192.956,2.48397,2.29637,1.65549,0.12444,0.27723,0.03445,0.01205,2.09583,2.29724,1.47886,0.001208,0.001208,0.001208
42,196.925,2.7789,2.19589,1.7546,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0011882,0.0011882,0.0011882
43,200.829,2.58142,1.85803,1.54809,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0011684,0.0011684,0.0011684
44,206.43,2.60641,1.93636,1.54761,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0011486,0.0011486,0.0011486
45,209.84,2.37763,2.08405,1.72217,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0011288,0.0011288,0.0011288
46,213.181,2.29791,1.73901,1.62344,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.001109,0.001109,0.001109
47,216.396,2.22726,1.89685,1.62391,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0010892,0.0010892,0.0010892
48,219.528,2.53437,2.26391,1.66007,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0010694,0.0010694,0.0010694
