epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,236.731,2.11581,1.48816,1.42656,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00101296,0.00101296,0.00101296
48,241.571,1.83093,1.59736,1.30012,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00101593,0.00101593,0.00101593
49,245.103,2.43121,1.49177,1.47859,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00101811,0.00101811,0.00101811
50,247.827,1.57622,1.46363,1.25558,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.0010195,0.0010195,0.0010195
51,251.945,1.91172,1.52752,1.34277,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.00101,0.00101,0.00101
52,258.629,1.95008,1.55949,1.49379,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.0009902,0.0009902,0.0009902
53,262.395,2.35344,1.52191,1.52085,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.0009704,0.0009704,0.0009704
54,265.234,1.56279,1.3701,1.14384,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.0009506,0.0009506,0.0009506
55,269.719,1.94386,1.55608,1.46866,0.43509,0.46782,0.35057,0.1979,1.69869,1.43696,1.21565,0.0009308,0.0009308,0.0009308
56,272.999,1.66025,1.44336,1.32648,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.000911,0.000911,0.000911
57,276.488,1.90991,1.42419,1.2051,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0008912,0.0008912,0.0008912
58,280.906,2.34017,1.42345,1.44448,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0008714,0.0008714,0.0008714
59,284.572,1.90301,1.73686,1.45232,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0008516,0.0008516,0.0008516
60,288.081,1.54094,1.32324,1.13495,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0008318,0.0008318,0.0008318
61,291.37,1.57059,1.39677,1.29158,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.000812,0.000812,0.000812
62,294.475,1.66428,1.32374,1.26734,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0007922,0.0007922,0.0007922
63,297.735,1.85863,1.29423,1.30648,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0007724,0.0007724,0.0007724
64,305.109,2.27345,1.72091,1.46919,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0007526,0.0007526,0.0007526
65,310.616,1.80009,1.30543,1.12292,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0007328,0.0007328,0.0007328
66,314.049,1.72891,1.46402,1.27201,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.000713,0.000713,0.000713
67,317.632,1.8086,1.38642,1.23944,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0006932,0.0006932,0.0006932
68,322.327,2.46648,1.64328,1.50488,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0006734,0.0006734,0.0006734
69,327.002,1.74999,1.34579,1.31827,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0006536,0.0006536,0.0006536
70,331.157,2.12081,1.42021,1.3039,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.0006338,0.0006338,0.0006338
71,335.374,2.04471,1.38659,1.39034,0.22267,0.40594,0.11046,0.05828,1.69596,11.1315,1.20492,0.000614,0.000614,0.000614
72,339.392,1.71307,1.28207,1.22371,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0005942,0.0005942,0.0005942
73,342.477,1.51051,1.31179,1.18282,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0005744,0.0005744,0.0005744
74,348.796,1.70751,1.36126,1.30073,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0005546,0.0005546,0.0005546
75,352.421,1.65553,1.42105,1.29466,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0005348,0.0005348,0.0005348
76,357.225,1.99732,1.50423,1.47268,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.000515,0.000515,0.000515
77,361.582,1.73358,1.28006,1.14742,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0004952,0.0004952,0.0004952
78,365.177,1.64843,1.30419,1.29805,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0004754,0.0004754,0.0004754
79,370.49,1.55171,1.25106,1.22687,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0004556,0.0004556,0.0004556
80,376.021,1.67718,1.30405,1.26741,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0004358,0.0004358,0.0004358
81,380.273,1.87058,1.32336,1.35006,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.000416,0.000416,0.000416
82,383.719,1.53586,1.19822,1.14154,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0003962,0.0003962,0.0003962
83,387.754,1.59423,1.29041,1.27372,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0003764,0.0003764,0.0003764
84,394.227,1.72721,1.28117,1.31547,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0003566,0.0003566,0.0003566
85,397.941,1.57257,1.12308,1.15563,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0003368,0.0003368,0.0003368
86,401.497,1.57428,1.31971,1.29227,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.000317,0.000317,0.000317
87,406.544,1.54464,1.28143,1.2121,0.30635,0.49084,0.16705,0.10185,1.3508,5.12575,1.11116,0.0002972,0.0002972,0.0002972
88,410.621,1.61492,1.4163,1.39992,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.0002774,0.0002774,0.0002774
89,414.709,1.36783,1.17628,1.10302,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.0002576,0.0002576,0.0002576
90,420.362,1.35049,1.0738,1.07335,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.0002378,0.0002378,0.0002378
91,425.775,1.37253,1.22202,1.03698,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.000218,0.000218,0.000218
92,430.761,1.40077,1.20773,1.06523,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.0001982,0.0001982,0.0001982
93,434.714,1.85053,1.75883,1.19602,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.0001784,0.0001784,0.0001784
94,438.459,1.52963,1.48029,1.05817,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.0001586,0.0001586,0.0001586
95,445.941,1.40273,1.28316,1.10955,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.0001388,0.0001388,0.0001388
96,452.496,1.65444,1.52106,1.15687,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,0.000119,0.000119,0.000119
97,457.714,1.71765,1.82939,1.13912,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,9.92e-05,9.92e-05,9.92e-05
98,462.072,1.33579,1.28649,1.11374,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,7.94e-05,7.94e-05,7.94e-05
99,466.151,1.30106,1.19454,1.13008,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,5.96e-05,5.96e-05,5.96e-05
100,470.092,1.28418,1.13366,1.05421,0.46733,0.54455,0.34229,0.22844,1.2045,1.2724,1.0488,3.98e-05,3.98e-05,3.98e-05
